sentence_index,original,compressed,decompressed,achieved_compression_ratio,compression_percentage,composite_score,semantic_interpretation,embedding_similarity,llm_similarity,compression_success,model_used,provider
10,"The ancient Library of Alexandria, established in the 3rd century BCE during the Ptolemaic dynasty, represented humanity's first attempt at universal knowledge collection, housing an estimated 400,000 to 700,000 scrolls on subjects ranging from mathematics and astronomy to medicine and literature, before its gradual decline and eventual destruction over several centuries.","Alexandria📚(3cBCE,Ptolemaic):400–700k📜,1st🌐hub;π→𝔏;⏳🔥","The Library of Alexandria, established in the 3rd century BCE during the Ptolemaic dynasty, housed between 400,000 and 700,000 scrolls and served as the world's first major center of knowledge and learning; it became a symbol of intellectual achievement, but over time it was destroyed by a series of fires, leading to the loss of invaluable works.",0.141711229946524,85.8288770053476,0.6196366753444745,Good,0.8985017538070679,0.8,True,gpt-4.1,openai
11,"Photosynthesis, the fundamental biological process that converts carbon dioxide and water into glucose using sunlight energy captured by chlorophyll molecules, not only provides the chemical energy that powers most life on Earth but also produces the oxygen that makes aerobic respiration possible for complex multicellular organisms.",☀️+🌱→🍬+O₂; fuels life via photosynthesis,"Sunlight and carbon dioxide are absorbed by plants, which use photosynthesis to convert them into sugars and oxygen; this process provides the energy that fuels life on Earth.",0.1197604790419161,88.02395209580838,0.5372482726678423,Moderate,0.8308149576187134,0.7,True,gpt-4.1,openai
12,"The Manhattan Project, a top-secret research and development program during World War II, brought together over 130,000 workers and scientists across multiple sites in the United States to develop the world's first nuclear weapons, culminating in the atomic bombs dropped on Hiroshima and Nagasaki and fundamentally altering international relations and military strategy.",🇺🇸ManhattanProj:130k→☢️WWII;🇯🇵広島&長崎💥;global⚔️shift,"The United States initiated the Manhattan Project, employing approximately 130,000 people to develop nuclear weapons during World War II. Atomic bombs were dropped on the Japanese cities of Hiroshima and Nagasaki, resulting in massive destruction. These events caused a significant shift in global military and political dynamics.",0.1347708894878706,86.52291105121293,0.6221346315330116,Good,0.8830029964447021,0.8,True,gpt-4.1,openai
13,"Social media algorithms designed to maximize user engagement often create echo chambers by preferentially showing content that confirms existing beliefs and biases, leading to increased political polarization, reduced exposure to diverse viewpoints, and the rapid spread of misinformation that can have serious consequences for democratic discourse and public health.","🤖📢⏩🌀=🔊bias,👥➗,❌ℹ️→⚖️&🏥💔","When artificial intelligence systems are trained on biased data, they can amplify those biases, leading to unfair treatment and discrimination, which can result in social inequality and even harm in critical areas like healthcare.",0.0626702997275204,93.73297002724796,0.2268587040576245,Poor,0.4639555215835571,0.2,True,gpt-4.1,openai
14,"The human microbiome, consisting of trillions of bacteria, viruses, fungi, and other microorganisms living in and on our bodies, plays essential roles in digestion, immune system function, mental health, and disease resistance, with recent research suggesting that disruptions to this microbial ecosystem may contribute to conditions ranging from obesity to depression.",🧑‍🤝‍🧑🦠×10¹²→🍽️🛡️🧠🦠⚖️;⚡=⚖️⬆️+😔,"When a trillion people are exposed to a virus, it leads to effects on nutrition, immunity, mental health, and viral balance; increased stress disrupts this balance and causes negative outcomes.",0.078590785907859,92.14092140921407,0.2388333078842043,Poor,0.5138689279556274,0.2,True,gpt-4.1,openai
15,"Renewable energy technologies including solar photovoltaic panels, wind turbines, and hydroelectric generators have experienced dramatic cost reductions over the past decade, making clean electricity cheaper than fossil fuels in many markets and offering a viable pathway to reduce greenhouse gas emissions while meeting growing global energy demands.","☀️💨💧>🛢️, cutting 🌍CO₂ & meeting 📈⚡ demand cheaply","Solar, wind, and hydro power are better than oil because they reduce global carbon dioxide emissions and can meet the growing demand for electricity at a lower cost.",0.1396011396011396,86.03988603988604,0.4219642978001751,Moderate,0.640762209892273,0.6,True,gpt-4.1,openai
16,"The discovery of DNA's double helix structure by Watson, Crick, Franklin, and Wilkins in 1953 revolutionized biology by revealing how genetic information is stored, replicated, and transmitted across generations, laying the foundation for molecular biology, biotechnology, and our modern understanding of heredity, evolution, and genetic diseases.",1953🧬:Watson+Crick+Franklin+Wilkins=DNA↔️life🔄evo🦠,"In 1953, James Watson, Francis Crick, Rosalind Franklin, and Maurice Wilkins discovered the structure of DNA, revealing its fundamental role as the molecule of life and establishing the connection between DNA and the processes of evolution and the development of living organisms.",0.1440922190201729,85.5907780979827,0.5188905862197374,Moderate,0.8341131210327148,0.7,True,gpt-4.1,openai
17,"Urban heat islands, caused by the replacement of natural vegetation with concrete, asphalt, and buildings that absorb and retain solar energy, can make cities 2-5 degrees Celsius warmer than surrounding rural areas, exacerbating air conditioning energy use, air pollution, and heat-related health problems, particularly affecting low-income communities.","🏙️🔥⬆2–5°C→⬆AC,🛑🌫️,⚕️risks—esp.⬇️💰groups","Urban heat increases by 2 to 5 degrees Celsius lead to higher air conditioning use, worsening air pollution, and increased health risks, especially for lower-income groups.",0.1104815864022662,88.95184135977338,0.4637184417922267,Moderate,0.7356160879135132,0.6,True,gpt-4.1,openai
18,"The development of antibiotics, beginning with Alexander Fleming's accidental discovery of penicillin in 1928, has saved millions of lives by enabling doctors to treat previously fatal bacterial infections, but the overuse and misuse of these drugs has led to the evolution of antibiotic-resistant bacteria that pose an increasingly serious threat to global public health.","🧫→💊(Fleming,1928)⇨⬆️lives;⚠️overuse=🦠💪⇨🌍threat","Alexander Fleming’s discovery of antibiotics in 1928 led to life-saving medical advances, but overusing these drugs causes bacteria to become resistant, which poses a serious global threat.",0.1236559139784946,87.63440860215054,0.5463190813535663,Moderate,0.902497410774231,0.7,True,gpt-4.1,openai
19,"Artificial neural networks inspired by the structure and function of biological neurons use layers of interconnected nodes to process information, with deep learning architectures containing millions or billions of parameters that can learn complex patterns from data through backpropagation algorithms, enabling breakthroughs in computer vision, natural language processing, and game playing.","🧠🤖=neurons⧉layers⟲backprop⇒AI⚡(👁️,🗣️,🎮)","Artificial intelligence is created by constructing artificial neural networks composed of interconnected neurons arranged in layers, which are trained using backpropagation; this enables AI systems to perform tasks such as visual perception, speech recognition, and playing games.",0.099236641221374,90.0763358778626,0.5377799704051086,Moderate,0.821165144443512,0.8,True,gpt-4.1,openai
